,ID,Review URL,Text,Star,Thumbs Up,User Name,Review Date,App ID,predicted
2,3888,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEg9ty0e-XbrzLKGS9tR4B5IdOhbmnXMUqBcrrjHHmrpwxc5M2bllzCA4_D3ey_CxEJpmUL2NiWf5nfCpo,Not able to update. Neither able to uninstall.,1,0,Priti D BtCFs-29,2020-12-19,com.android.chrome,1
4,3890,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHc1mf1QShRHcs2NeWSXebjuwBj701Yt7V3flIclDu4rb5_QWRQLXgF8IR-_dYhmkYy8KC7FXSHz9cUc3w,Many unwanted ads,1,0,Rams Mp,2020-12-19,com.android.chrome,1
8,3894,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFDlNE-NBLCDAQRHXlK7NbWg-OPhF_YbnOpulsRFMoOEy1MPcyQ7tMUhqvWpgXWJSYyuKKsWlmJsbs72pk,Very bad app 😞,1,0,Akshat Bhardwaj,2020-12-19,com.android.chrome,1
9,3895,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGe1bC4_Rw_IBkuXri_dE2TtWM5R0IY0xSPhBnG7-8yDu0joZDx2yUaOD-Fi5QZ9aSUGYBYJbJ-HTF6VbY,Many times I tried to update its not updating. And now whenever I try to use the app it freezes and goes back to home,1,0,Aditi Rathor,2020-12-19,com.android.chrome,1
12,3898,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFB605puNbHpCTcaeXNM2AHGgyPhGmJNA84btTx4MWjf64VK70Q00yehNf6pCH6uOjHKCxTDdXYWYkmoMo,App is not getting update and it is not getting open too and saying u r using very old version plz update but it is not updating...,1,0,Daksh Gulati,2020-12-19,com.android.chrome,1
15,3901,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFGWKHxW5O6bL8p3zURZeK-xUQY2ucrIq4hucgnisKC2cJw67j-fn6IErsxlOAx_aKu0coe6OiGVCg49kQ,Very coming in real status. Thank you,1,0,Richyy Gonzalez,2020-12-19,com.android.chrome,5
19,3905,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGCJOAWmO88ffTSliajffRSabUbP-5UXA9gQ-X08XS-Z0ZJOSqZ7hT1_RNYPnNZXPXOHqATbCJxROOUazo,I want to download greana free fire but that not comming in file,1,0,Dinkar Kamble,2020-12-19,com.android.chrome,1
30,3916,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG-fvAmN_EwN_YzeYEbpWk0zbxBbGtXseF4KoEYlLINNzALklTwidH6DOwk8WFahEj1VQoSlMg-6W26WZo,Data consuming,1,0,Aniket Sahu,2020-12-19,com.android.chrome,5
31,3917,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHBbeyTtAIUt1C8OiomsByy8kOHv8Uacv0EeNWmSquRKQh9YiDgs4xSQ4yAh8pgYV6PIMrGbaKOoK8THxg,My phone is samsung s9 and I can't update the app,1,0,Suman Rajora,2020-12-19,com.android.chrome,1
32,3918,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG_OlxYdME-UWjf07GbckOOqh_LT1AEQvkvrjYJRA69JbNDTj_GyjGayXfFD67MCth5wT-WXJtzFgt9otU,"It lags this days. Worst of it, I can't even update it. I can't even update it!!!",1,0,Arcksonrinder Oyewole,2020-12-19,com.android.chrome,1
37,3923,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFxCXnfLVSnkTwOywn8KlEkomY7P_dz4fpZWD3_7eS4jDJmPL2yZWrtfmZ8W4Q0xhQrZDhJaRGkLxZDlZs,I am unable to update my google chrome app through playstore,1,0,Pubg Bhaiya,2020-12-19,com.android.chrome,1
39,3925,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGfqz1gJmLHwG3gyL1aHCuF8sWTmuP_ZFnQeOwMgdxCTdvMOpzbDseRKYH2hJJMw_7_Ko9iP23bFgfpdxs,Your download manager is garbage. Pls fix 😠 next update,1,0,yash chaudhary,2020-12-19,com.android.chrome,1
42,3928,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHpjxrDWG8isJIUKLeU9nxvDitKBHz1m7cVCPiWzQQi3kbikuMhlCM4BDIgQo3tMD6_9UclO_vg6hhwup4,Okk kind but bad then brave,1,0,shradha baradiya,2020-12-19,com.android.chrome,1
48,3934,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFouHz9N_2JRe8oH3Hlb2miy_Qm-oaij7y2O4OC2rni1GUglsmHe07JeY9thKfCgFBWJhun-jWGzA-uDG8,Unable to update won't load crashing at times unresponsive was a good reliable app now it's unreliable,1,0,Miguel Saravia,2020-12-19,com.android.chrome,1
52,3938,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG7_ETCf3NQRZBQDqbzodzCS72jOTfGA7ChO7MIkriz2M4HcaG166OvmyOdxucFuj1rzehqRdn69eDZ8t4,Bad,1,0,kriti mishra,2020-12-19,com.android.chrome,1
54,3940,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGVa-lBv3In6pwfYYasUBUFhWWX65jtjVeJ-oM_ZFPVyHGAVKKKp6aIbSZfsMA81BkEnoQ_JxYCtkuDNGU,Always demand for update and cant work properly from these application my experience is bad,1,0,Rahul Pal,2020-12-19,com.android.chrome,1
